churned,id,customer_code,co_name,total_spend,week_minus_4,week_minus_3,week_minus_2,last_week,4-3_delta,3-2_delta,2-1_delta
0,108,1474,Smith Powell and Thompson,73650.57,1.87,1.61,1.2,1.9,-0.26,-0.41,0.7
0,109,2647,Lang Inc,57016.41,2.07,0.43,2.24,0.99,-1.64,1.81,-1.25
0,110,2548,Powell LLC,78761.54,1.11,1.32,1.74,2.44,0.21,0.42,0.7
0,111,2283,Griffin Hall and Simmons,41342.6,0.15,2.4,0.31,0.5,2.25,-2.09,0.19
0,112,2449,Hoffman-Gregory,71166.68,1.61,0.47,2.3,1.97,-1.14,1.83,-0.33
0,113,2621,Taylor Davis and Brown,51672.52,0.62,1.89,1.64,0.25,1.27,-0.25,-1.39
0,114,1795,Moore Inc,53805.74,1.31,2.42,0.52,1.52,1.11,-1.9,1
0,115,977,Rodriguez-Blankenship,73834.21,0.12,1.68,1.33,2.41,1.56,-0.35,1.08
0,116,856,Walker-Wood,53179.4,2.07,0.7,2.02,0.71,-1.37,1.32,-1.31
0,117,2981,Meadows-Smith,43601.61,2.31,1.02,0.52,0.4,-1.29,-0.5,-0.12
0,118,443,Moore-Carter,75604.7,2.35,0.96,0.34,1.28,-1.39,-0.62,0.94
0,119,2607,Dennis Sanders and Farmer,72390.34,1.45,1.56,1.14,0.23,0.11,-0.42,-0.91
0,120,1633,Washington Edwards and Rhodes,58136.82,2.3,1.05,2.49,1.5,-1.25,1.44,-0.99
0,121,632,Farmer Fernandez and Gibson,63897.46,1.82,2.49,0.96,0.4,0.67,-1.53,-0.56
1,122,2816,Carter-Jenkins,56674.39,2.27,1.27,0.01,2.43,-1,-1.26,2.42
0,123,2915,Moore Cox and Colon,55472.86,2.06,0.65,2.24,2.2,-1.41,1.59,-0.04
1,124,2512,Powell and Sons,70430.2,0.6,1.91,0.06,1.6,1.31,-1.85,1.54
0,125,2125,Mosley Chang and Shannon,56414.38,0.06,2.03,1.99,2.09,1.97,-0.04,0.1
0,126,29,Gay Moore and Fisher,69413.72,1.91,1.63,1.66,1.34,-0.28,0.03,-0.32
0,127,419,Le Group,59479.13,1.14,1.59,0.47,1.85,0.45,-1.12,1.38
0,128,2667,Johnson Ltd,78594.6,1.5,0.81,2,1.29,-0.69,1.19,-0.71
0,129,313,Osborne Group,65040.18,2.28,1.98,0.08,0.05,-0.3,-1.9,-0.03
0,130,944,Grimes-Snyder,65441.56,1.3,2.07,0.28,2.35,0.77,-1.79,2.07
0,131,1084,Hull Benjamin and Lindsey,43482.3,1.75,1.95,0.33,1.31,0.2,-1.62,0.98
0,132,168,Blanchard Kennedy and Rivers,72837.97,0.87,1.57,2.31,2.22,0.7,0.74,-0.09
0,133,2019,Spencer Dunn and Becker,71116.85,1.2,1.82,2.04,0.16,0.62,0.22,-1.88
0,134,1490,Mejia Williams and Scott,79353.98,1.63,0.75,1.02,1.23,-0.88,0.27,0.21
0,135,2533,Simon LLC,78295.33,1.41,0.67,1.04,1.32,-0.74,0.37,0.28
0,136,673,Friedman Powell and Davis,61803.04,2.14,0.36,2.07,0.08,-1.78,1.71,-1.99
0,137,2691,Elliott Group,44117.28,0.09,1.53,0.78,1.98,1.44,-0.75,1.2
0,138,1032,Hernandez Ltd,45554.27,0.8,0.07,0.32,2.09,-0.73,0.25,1.77
0,139,1613,Espinoza Doyle and Fox,46027.46,1.31,0.97,1.55,1.59,-0.34,0.58,0.04
0,140,2176,Bryant Lewis and Olson,73978.36,2.14,2.32,1.89,0.53,0.18,-0.43,-1.36
0,141,2492,Allen Murray and Pena,45935.93,1.71,0.75,1.51,2.36,-0.96,0.76,0.85
0,142,2741,Payne Woods and Davis,50089.17,1.29,2.28,1.35,1.96,0.99,-0.93,0.61
1,143,2027,Ramos Taylor and Adams,71144.68,1.63,0.09,0.2,1.95,-1.54,0.11,1.75
0,144,1446,Wheeler Khan and Salazar,68820.05,0.14,1.24,2.39,0.4,1.1,1.15,-1.99
0,145,461,Thompson Neal and Cross,57703.76,0.95,2.04,0.17,2.44,1.09,-1.87,2.27
0,146,1974,Martin-Hawkins,60762.68,1.27,1.31,2.28,1.62,0.04,0.97,-0.66
0,147,2756,Stafford Inc,79116.42,2.4,0.38,1.35,1.43,-2.02,0.97,0.08
0,148,2787,Thomas-Hernandez,76897.46,0.56,2.29,1.14,2.23,1.73,-1.15,1.09
0,149,2998,Lee PLC,61906.36,1.37,2.21,0.45,0.05,0.84,-1.76,-0.4
0,150,1336,Ortiz Frazier and Zavala,54444.71,0.33,0.44,0.56,2.47,0.11,0.12,1.91
0,151,1836,Mendoza Ltd,68599.72,2.32,1.13,1.13,0.35,-1.19,0,-0.78
0,152,1743,Miller LLC,46951.03,0.99,0.63,2.25,1.39,-0.36,1.62,-0.86
0,153,421,Castillo Mcmahon and Gonzalez,62382.07,1.45,1.18,2.46,1.17,-0.27,1.28,-1.29
0,154,1782,Moreno PLC,44743.51,1.71,1.83,0.67,0.62,0.12,-1.16,-0.05
0,155,439,Wagner-Richardson,41139.71,1.01,1.99,1.33,1.59,0.98,-0.66,0.26
0,156,735,Nguyen Morton and Chapman,53425.74,1.14,2.15,0.81,0.19,1.01,-1.34,-0.62
0,157,1287,Patel LLC,58854.6,0.96,0.21,0.49,1.67,-0.75,0.28,1.18
0,158,2166,Brown-Moore,69700.3,2.26,0.72,0.45,1.29,-1.54,-0.27,0.84
0,159,698,Johns Cooper and Rose,77644.2,1.65,0.55,1,0.77,-1.1,0.45,-0.23
0,160,2934,Burns Grant and Wright,56383.34,0.66,0.45,1.17,0.42,-0.21,0.72,-0.75
0,161,1530,Shepherd-Miles,74281.66,0.74,1.84,0.66,0.96,1.1,-1.18,0.3
0,162,1625,Mccarthy-Dalton,52768.7,1.83,2.38,1.43,0.92,0.55,-0.95,-0.51
0,163,915,Guzman-Daniels,47939.06,0.08,1.62,1.61,1.01,1.54,-0.01,-0.6
0,164,2455,Young-Smith,77753.25,2.35,1.75,0.43,1.49,-0.6,-1.32,1.06
0,165,2029,Collins Matthews and Hutchinson,41704.16,1.94,0.06,0.23,0.01,-1.88,0.17,-0.22
0,166,614,Zimmerman-Newman,52842.95,2.29,0.74,0.33,1.6,-1.55,-0.41,1.27
0,167,2615,Martinez-Reyes,57525.4,1.39,1.48,1.36,1.47,0.09,-0.12,0.11
0,168,164,Thomas LLC,58131.42,0.25,1.05,2.17,2.43,0.8,1.12,0.26
0,169,2660,Brock Riley and Rivers,59159.89,0.38,0.93,1.36,0.11,0.55,0.43,-1.25
0,170,526,Evans-Gill,44721.65,0.35,0.14,0.99,0.6,-0.21,0.85,-0.39
0,171,550,Moreno Doyle and Thomas,71394.97,1.82,0.63,1.65,1.22,-1.19,1.02,-0.43
0,172,2763,Martin-Roberts,64651.18,0.04,1.14,1.49,2.37,1.1,0.35,0.88
0,173,1601,Castillo Wood and Collier,55772.01,1.16,0.35,1.08,2.25,-0.81,0.73,1.17
0,174,2636,Morgan-Gutierrez,77320.51,1.67,0.14,1.48,0.23,-1.53,1.34,-1.25
0,175,1683,Sanders Crawford and Callahan,65437.51,1.73,1.05,1.61,0.95,-0.68,0.56,-0.66
0,176,604,Robinson-Elliott,77433.28,0.23,1.42,1.11,1.94,1.19,-0.31,0.83
0,177,902,Harris Group,66534.88,0.17,0.41,0.37,2.43,0.24,-0.04,2.06
0,178,1984,Wilson Inc,63496.42,0.53,2.31,1.89,1.47,1.78,-0.42,-0.42
0,179,1040,Wright PLC,72125.39,0.32,0.51,1.05,1.5,0.19,0.54,0.45
0,180,472,Combs-Bauer,54351.83,2.48,0.76,0.04,0.34,-1.72,-0.72,0.3
0,181,660,Stewart-Delgado,70971.58,0.04,1.17,1.98,1.92,1.13,0.81,-0.06
0,182,1602,Kaufman-Hopkins,73578.4,1.42,1.58,0.41,0.94,0.16,-1.17,0.53
0,183,2558,Smith Williams and Young,49610.84,2.31,2.16,2.44,0.22,-0.15,0.28,-2.22
0,184,1286,Barnett LLC,75993.43,1.24,2.32,1.33,0.46,1.08,-0.99,-0.87
0,185,332,Solomon Bowers and Sanchez,77343.13,0.27,0.52,1.15,1.49,0.25,0.63,0.34
0,186,1772,Robertson LLC,59984.05,0.99,0.45,1.02,1.6,-0.54,0.57,0.58
0,187,1146,Sims Tanner and Austin,73555.85,0.11,0.67,0.99,0.67,0.56,0.32,-0.32
0,188,2570,Morris-Shields,50087.12,1.18,2.34,1.52,2.47,1.16,-0.82,0.95
0,189,2804,Martin Group,65100.95,0.05,2.37,1.46,0.26,2.32,-0.91,-1.2
0,190,1555,Martinez Shaw and Anderson,60847.25,0.56,1.55,1.66,0.51,0.99,0.11,-1.15
0,191,1115,Kirk and Sons,58376.48,0.7,2.34,2.42,1.22,1.64,0.08,-1.2
0,192,1557,Murphy-Lambert,72678.86,1.1,0.58,0.64,0.92,-0.52,0.06,0.28
0,193,2372,Young Group,60394.92,0.91,0,0.95,0.57,-0.91,0.95,-0.38
0,194,132,Lewis-Maldonado,65942.97,0.58,1.22,2.09,0.69,0.64,0.87,-1.4
0,195,117,Fischer-Nunez,46195.07,1.32,1.63,0.58,0.54,0.31,-1.05,-0.04
0,196,2160,Kelley-Smith,55343.03,0.74,1.57,0.75,2.35,0.83,-0.82,1.6
0,197,2041,Le Collier and Mahoney,60458.21,0.75,1.93,1.02,1.41,1.18,-0.91,0.39
0,198,1588,Roberts-Carter,54585.01,0.45,2.45,2.19,0.83,2,-0.26,-1.36
0,199,1667,Butler LLC,57381.39,1.13,1.07,1.23,0.94,-0.06,0.16,-0.29
0,200,452,Lopez Anderson and Rivera,71307.25,0.78,1.61,1.12,1.78,0.83,-0.49,0.66
0,201,424,Schneider PLC,69801.1,2.45,1.68,2.41,0.27,-0.77,0.73,-2.14
0,202,113,Lewis-Mathis,57272.59,0.44,1.99,2.1,1.81,1.55,0.11,-0.29
0,203,798,Franklin-Weber,78007.93,0.26,1.38,0.84,2.26,1.12,-0.54,1.42
0,204,993,Mathis Group,59236.24,0.02,2.27,0.98,2.37,2.25,-1.29,1.39
0,205,25,Clayton Lane and Randolph,46806.44,0.79,0.59,1.43,1.23,-0.2,0.84,-0.2
0,206,2504,Vasquez-Edwards,49016.6,2.06,1.06,0.5,1.52,-1,-0.56,1.02
0,207,2757,Guzman and Sons,74537.74,1.78,0.89,1.03,1.23,-0.89,0.14,0.2
0,208,740,Davis Carter and Pena,65234.1,1.36,1.07,1.8,2.11,-0.29,0.73,0.31
0,209,2377,Browning PLC,75057.21,2.21,1.95,1.57,2.37,-0.26,-0.38,0.8
0,210,2594,Smith Scott and Boyd,79794.43,1.73,1.22,0.91,1.89,-0.51,-0.31,0.98
0,211,978,Miller Matthews and Riley,53348.27,2.41,2.03,0.71,0.76,-0.38,-1.32,0.05
0,212,2336,Craig Inc,41710.95,0.11,2.33,0.09,0.33,2.22,-2.24,0.24
0,213,1670,Hill-Hurst,79009.37,0.34,0.55,0.82,2.4,0.21,0.27,1.58
0,214,131,Valdez Ltd,69437.63,2.46,2.37,1.06,0.14,-0.09,-1.31,-0.92
0,215,1075,Gomez-Parker,64839.51,1.23,0.67,0.58,0.21,-0.56,-0.09,-0.37
0,216,1218,Olsen Inc,53615.93,1.52,0.42,1.95,0.58,-1.1,1.53,-1.37
1,217,566,Nolan Garcia and Gutierrez,52427.7,1.08,0.01,0.65,0.95,-1.07,0.64,0.3
0,218,2348,Cantu-Sanchez,57157.07,0.75,1.38,1.56,1.98,0.63,0.18,0.42
0,219,1128,Brown-Nichols,62125.01,2.12,0.83,2.34,0.13,-1.29,1.51,-2.21
1,220,2732,Cook-Boone,63987.93,1.57,1.2,0.05,2.18,-0.37,-1.15,2.13
0,221,1359,Ruiz LLC,45930.53,0.08,1.43,0.41,1.34,1.35,-1.02,0.93
0,222,1517,Meyer and Sons,49191.17,0.42,0.46,0.76,0.05,0.04,0.3,-0.71
0,223,240,White-Quinn,59374.58,0.27,1.27,1.58,0.28,1,0.31,-1.3
0,224,2916,Thompson-Harris,40259.43,0.33,2.3,1.04,0.63,1.97,-1.26,-0.41
1,225,1988,Jackson Johnson and Perez,74418.04,1.1,0.12,0.53,0.81,-0.98,0.41,0.28
0,226,52,Huber-Porter,67761.11,0.95,1.9,1.4,0.85,0.95,-0.5,-0.55
0,227,968,Arellano-Fuller,70916.64,0.74,2.44,0.09,1.66,1.7,-2.35,1.57
0,228,1488,Townsend King and Hale,70840.94,2.4,1.41,0.63,1.75,-0.99,-0.78,1.12
0,229,47,Jones-Smith,71226.17,0.88,0.98,1.91,1.83,0.1,0.93,-0.08
0,230,2697,Gentry PLC,51311.05,1.88,1.8,2.3,2.21,-0.08,0.5,-0.09
0,231,1673,Dean Paul and Gould,74972.87,0.79,2.27,1,0.94,1.48,-1.27,-0.06
0,232,205,Torres LLC,65849.62,2.02,1.63,1.46,1.97,-0.39,-0.17,0.51
0,233,1376,Cole Wong and Scott,72658.02,1.83,0.33,0.04,0.19,-1.5,-0.29,0.15
0,234,1963,Howe-Navarro,56001.71,1.95,0.13,1.8,0.97,-1.82,1.67,-0.83
0,235,1762,Sanders LLC,73474.62,0.15,1.23,2.37,1.95,1.08,1.14,-0.42
0,236,1917,Smith Martin and Cole,61258.12,1.59,0.06,1.82,1.57,-1.53,1.76,-0.25
0,237,22,Cameron-Hickman,41712.35,1.34,2.35,0.24,1.42,1.01,-2.11,1.18
0,238,650,Moody Ltd,72622.8,0.98,2.09,1.63,2.45,1.11,-0.46,0.82
0,239,1975,Payne Hampton and Wu,68881.33,0.82,2.26,1.59,1.72,1.44,-0.67,0.13
0,240,1207,Guerrero Mays and Blanchard,40624.61,2.36,1.26,0.61,0.61,-1.1,-0.65,0
0,241,2574,Phillips-Lee,58164.12,2.28,1.8,1.37,0.28,-0.48,-0.43,-1.09
0,242,1938,Riddle-Malone,59526.15,0.32,2.3,0.66,1.89,1.98,-1.64,1.23
1,243,2237,Eaton PLC,69800.75,1.07,2.19,0.16,1.92,1.12,-2.03,1.76
0,244,1431,Green PLC,56548.11,0.9,2.47,1.48,0.38,1.57,-0.99,-1.1
0,245,912,Huber LLC,40025.36,0.72,1.51,2.32,2.11,0.79,0.81,-0.21
1,246,1895,Rogers Smith and Davis,44687.79,1.79,0.09,1.98,2.5,-1.7,1.89,0.52
0,247,2730,Montgomery Stevenson and Lee,57259.29,1.41,1.36,0.9,0.02,-0.05,-0.46,-0.88
0,248,81,Long Ltd,56097.15,0.65,0.5,1.25,0.1,-0.15,0.75,-1.15
0,249,2121,Brown-Oneal,66899.37,0.96,1.85,1.57,1.43,0.89,-0.28,-0.14
0,250,2793,Moore David and Becker,43782.91,2.39,1.03,1.95,0.55,-1.36,0.92,-1.4
0,251,2381,Olson-Johnson,76785.85,1.76,0.86,0.14,1.41,-0.9,-0.72,1.27
0,252,718,Miller Group,63448.6,2.33,0.48,0.58,0.77,-1.85,0.1,0.19
0,253,2766,Harper Group,52658.4,1.42,2.27,1.59,2.16,0.85,-0.68,0.57
0,254,2755,Griffin-Clarke,65386.19,2.39,1.23,2.33,1.51,-1.16,1.1,-0.82
0,255,2603,Barr PLC,68856.28,1.88,2.08,1.81,1.93,0.2,-0.27,0.12
0,256,2664,Freeman Baker and Wilson,59047.17,0.38,0.34,0.48,0.9,-0.04,0.14,0.42
0,257,28,Floyd Ltd,52134.27,0.73,1.24,2.09,1.71,0.51,0.85,-0.38
0,258,2418,Castaneda-Andrews,70747.08,0.68,0.71,0.86,0.62,0.03,0.15,-0.24
0,259,2445,Juarez-Wood,52916.6,2.41,1.39,2.25,2.04,-1.02,0.86,-0.21
0,260,2208,Spencer LLC,78474.18,1.02,1.21,0.77,2.02,0.19,-0.44,1.25
0,261,1284,Whitaker-Nelson,42298.29,0.5,1,0.28,0.95,0.5,-0.72,0.67
0,262,2032,Gonzalez Herrera and Jimenez,66904,0.61,1.87,1.97,2.1,1.26,0.1,0.13
0,263,2496,Hamilton Burnett and Combs,76081.16,0.24,1.11,0.52,2.16,0.87,-0.59,1.64
0,264,2738,Smith-King,57674.11,2.3,0.62,2.41,0.79,-1.68,1.79,-1.62
1,265,2202,Medina Martinez and Diaz,76528.58,0.72,0.19,2.13,1.93,-0.53,1.94,-0.2
0,266,749,Morris-Larsen,63725.68,0.06,1.15,0.98,1.69,1.09,-0.17,0.71
0,267,2637,Bishop Ltd,78192.07,0.31,2.43,1.35,2.14,2.12,-1.08,0.79
0,268,1733,Sweeney Group,47460.29,0.32,0.36,2.39,0.16,0.04,2.03,-2.23
0,269,120,Jones Warren and Moore,66634.2,1.54,0.84,1.49,1.51,-0.7,0.65,0.02
0,270,31,Terry Group,63735.61,1.56,0.2,0.8,0.38,-1.36,0.6,-0.42
