Date,TAVG
1916-03-01,33.2
1916-04-01,39.1
1916-05-01,41.7
1916-06-01,51.2
1916-07-01,60.0
1916-08-01,59.3
1916-09-01,51.1
1916-10-01,38.2
1916-11-01,24.2
1916-12-01,15.2
1917-01-01,17.8
1917-02-01,22.0
1917-03-01,21.6
1917-04-01,35.2
1917-05-01,45.3
1917-06-01,51.5
1917-07-01,64.4
1917-08-01,61.2
1917-09-01,53.7
1917-10-01,40.4
1917-11-01,34.2
1917-12-01,29.1
1918-01-01,22.1
1918-02-01,22.3
1918-03-01,34.8
1918-04-01,37.9
1918-05-01,45.0
1918-06-01,60.1
1918-07-01,63.2
1918-08-01,57.9
1918-09-01,54.0
1918-10-01,44.5
1918-11-01,28.4
1918-12-01,24.7
1919-01-01,25.1
1919-02-01,22.2
1919-03-01,30.6
1919-04-01,41.3
1919-05-01,47.2
1919-06-01,56.5
1919-07-01,65.3
1919-08-01,62.1
1919-09-01,52.4
1919-10-01,34.6
1919-11-01,23.4
1919-12-01,12.9
1920-01-01,23.8
1920-02-01,26.1
1920-03-01,28.3
1920-04-01,34.9
1920-05-01,43.8
1920-06-01,50.9
1920-07-01,64.7
1920-08-01,61.4
1920-09-01,51.8
1920-10-01,39.3
1920-11-01,28.7
1920-12-01,25.1
1921-01-01,24.6
1921-02-01,30.0
1921-03-01,33.1
1921-04-01,37.9
1921-05-01,48.4
1921-06-01,57.2
1921-07-01,62.6
1921-08-01,61.5
1921-09-01,46.2
1921-10-01,45.0
1921-11-01,27.8
1921-12-01,19.4
1922-01-01,14.0
1922-02-01,13.9
1922-03-01,26.3
1922-04-01,35.7
1922-05-01,45.6
1922-06-01,59.5
1922-07-01,61.6
1922-08-01,63.2
1922-09-01,55.6
1922-10-01,44.0
1922-11-01,26.0
1922-12-01,17.0
1923-01-01,25.9
1923-02-01,16.7
1923-03-01,29.5
1923-04-01,38.0
1923-05-01,46.8
1923-06-01,53.6
1923-07-01,65.2
1923-08-01,61.2
1923-09-01,54.6
1923-10-01,40.5
1923-11-01,31.0
1923-12-01,23.2
1924-01-01,16.7
1924-02-01,31.6
1924-03-01,30.0
1924-04-01,38.2
1924-05-01,51.3
1924-06-01,52.9
1924-07-01,63.3
1924-08-01,59.1
1924-09-01,52.1
1924-10-01,41.9
1924-11-01,27.5
1924-12-01,13.8
1925-01-01,26.7
1925-02-01,33.3
1925-03-01,34.0
1925-04-01,43.5
1925-05-01,50.5
1925-06-01,55.3
1925-07-01,65.5
1925-08-01,59.7
1925-09-01,52.4
1925-10-01,35.5
1925-11-01,28.9
1925-12-01,31.1
1926-01-01,22.2
1926-02-01,31.6
1926-03-01,34.6
1926-04-01,43.5
1926-05-01,47.6
1926-06-01,56.3
1926-07-01,64.5
1926-08-01,60.2
1926-09-01,45.6
1926-10-01,43.4
1926-11-01,32.6
1926-12-01,23.5
1927-01-01,20.3
1927-02-01,25.1
1927-03-01,32.0
1927-04-01,37.4
1927-05-01,43.2
1927-06-01,55.4
1927-07-01,62.5
1927-08-01,59.5
1927-09-01,50.6
1927-10-01,43.0
1927-11-01,33.6
1927-12-01,10.6
1928-01-01,21.6
1928-02-01,21.3
1928-03-01,32.8
1928-04-01,37.3
1928-05-01,52.2
1928-06-01,52.4
1928-07-01,62.9
1928-08-01,58.6
1928-09-01,52.4
1928-10-01,40.8
1928-11-01,30.6
1928-12-01,20.1
1929-01-01,10.1
1929-02-01,14.7
1929-03-01,33.4
1929-04-01,36.2
1929-05-01,46.0
1929-06-01,53.1
1929-07-01,62.8
1929-08-01,64.4
1929-09-01,47.2
1929-10-01,41.0
1929-11-01,27.8
1929-12-01,28.3
1930-01-01,2.3
1930-02-01,30.9
1930-03-01,30.1
1930-04-01,45.6
1930-05-01,46.6
1930-06-01,53.4
1930-07-01,64.1
1930-08-01,64.3
1930-09-01,53.2
1930-10-01,38.0
1930-11-01,26.5
1930-12-01,21.1
1931-01-01,26.4
1931-02-01,27.0
1931-03-01,33.0
1931-04-01,39.8
1931-05-01,49.8
1931-06-01,57.1
1931-07-01,63.9
1931-08-01,63.3
1931-09-01,51.7
1931-10-01,40.5
1931-11-01,24.7
1931-12-01,20.1
1932-01-01,18.3
1932-02-01,22.4
1932-03-01,25.9
1932-04-01,39.6
1932-05-01,47.6
1932-06-01,56.0
1932-07-01,62.1
1932-08-01,60.7
1932-09-01,51.4
1932-10-01,40.3
1932-11-01,34.7
1932-12-01,15.1
1933-01-01,23.1
1933-02-01,16.9
1933-03-01,31.2
1933-04-01,37.5
1933-05-01,43.4
1933-06-01,57.7
1933-07-01,63.5
1933-08-01,60.7
1933-09-01,49.4
1933-10-01,43.5
1933-11-01,34.5
1933-12-01,29.5
1934-01-01,31.3
1934-02-01,30.4
1934-03-01,37.4
1934-04-01,46.1
1934-05-01,52.5
1934-06-01,54.8
1934-07-01,62.4
1934-08-01,61.9
1934-09-01,48.9
1934-10-01,43.6
1934-11-01,35.6
1934-12-01,25.5
1935-01-01,21.2
1935-02-01,26.7
1935-03-01,29.1
1935-04-01,34.8
1935-05-01,45.3
1935-06-01,53.2
1935-07-01,61.9
1935-08-01,59.5
1935-09-01,54.9
1935-10-01,41.0
1935-11-01,25.8
1935-12-01,24.5
1936-01-01,23.3
1936-02-01,5.2
1936-03-01,29.6
1936-04-01,40.8
1936-05-01,53.4
1936-06-01,57.4
1936-07-01,66.5
1936-08-01,62.6
1936-09-01,51.3
1936-10-01,43.6
1936-11-01,25.6
1936-12-01,26.9
1937-01-01,0.8
1937-02-01,21.3
1937-03-01,30.6
1937-04-01,37.9
1937-05-01,49.4
1937-06-01,54.4
1937-07-01,65.1
1937-08-01,59.4
1937-09-01,55.1
1937-10-01,44.8
1937-11-01,32.8
1937-12-01,26.2
1938-01-01,22.0
1938-02-01,21.3
1938-03-01,30.3
1938-04-01,40.2
1938-05-01,46.8
1938-06-01,56.7
1938-07-01,64.2
1938-08-01,60.2
1938-09-01,58.4
1938-10-01,43.0
1938-11-01,26.8
1938-12-01,26.8
1939-01-01,29.5
1939-02-01,20.0
1939-03-01,32.9
1939-04-01,42.6
1939-05-01,50.6
1939-06-01,51.4
1939-07-01,63.9
1939-08-01,62.2
1939-09-01,53.4
1939-10-01,43.0
1939-11-01,31.3
1939-12-01,29.8
1940-01-01,17.1
1940-02-01,28.2
1940-03-01,36.3
1940-04-01,41.3
1940-05-01,51.3
1940-06-01,58.2
1940-07-01,64.7
1940-08-01,62.9
1940-09-01,57.2
1940-10-01,45.2
1940-11-01,24.3
1940-12-01,26.3
1941-01-01,24.1
1941-02-01,28.3
1941-03-01,36.7
1941-04-01,42.2
1941-05-01,49.4
1941-06-01,55.8
1941-07-01,64.9
1941-08-01,61.3
1941-09-01,47.5
1941-10-01,39.4
1941-11-01,31.7
1941-12-01,25.2
1942-01-01,13.2
1942-02-01,19.4
1942-03-01,30.8
1942-04-01,42.3
1942-05-01,44.9
1942-06-01,50.4
1942-07-01,62.4
1942-08-01,61.2
1942-09-01,53.2
1942-10-01,43.5
1942-11-01,28.7
1942-12-01,26.0
1943-01-01,13.9
1943-02-01,24.5
1943-03-01,23.4
1943-04-01,42.7
1943-05-01,43.9
1943-06-01,49.6
1943-07-01,61.1
1943-08-01,59.8
1943-09-01,53.5
1943-10-01,43.5
1943-11-01,30.2
1943-12-01,20.3
1944-01-01,21.7
1944-02-01,24.9
1944-03-01,27.2
1944-04-01,40.4
1944-05-01,48.5
1944-06-01,53.6
1944-07-01,60.6
1944-08-01,58.7
1944-09-01,53.2
1944-10-01,45.1
1944-11-01,30.2
1944-12-01,18.3
1945-01-01,26.1
1945-02-01,27.7
1945-03-01,31.5
1945-04-01,35.4
1945-05-01,47.0
1945-06-01,51.6
1945-07-01,62.8
1945-08-01,62.2
1945-09-01,49.6
1945-10-01,44.1
1945-11-01,31.0
1945-12-01,22.1
1946-01-01,26.0
1946-02-01,28.0
1946-03-01,35.5
1946-04-01,41.6
1946-05-01,47.1
1946-06-01,52.9
1946-07-01,62.6
1946-08-01,60.0
1946-09-01,50.8
1946-10-01,36.7
1946-11-01,26.6
1946-12-01,25.4
1947-01-01,19.7
1947-02-01,26.8
1947-03-01,33.5
1947-04-01,40.4
1947-05-01,50.5
1947-06-01,51.1
1947-07-01,63.9
1947-08-01,59.6
1947-09-01,51.0
1947-10-01,44.6
1947-11-01,27.5
1947-12-01,25.8
1948-01-01,21.9
1948-02-01,23.6
1948-03-01,26.6
1948-04-01,38.4
1948-05-01,48.2
1948-06-01,57.1
1948-07-01,58.5
1948-08-01,59.0
1948-09-01,50.6
1948-10-01,40.0
1948-11-01,29.3
1948-12-01,13.6
1949-01-01,2.6
1949-02-01,18.4
1949-03-01,27.5
1949-04-01,42.5
1949-05-01,50.5
1949-06-01,53.9
1949-07-01,60.5
1949-08-01,61.6
1949-09-01,52.2
1949-10-01,37.2
1949-11-01,35.1
1949-12-01,22.7
1950-01-01,8.4
1950-02-01,24.3
1950-03-01,29.2
1950-04-01,36.9
1950-05-01,43.7
1950-06-01,52.1
1950-07-01,60.0
1950-08-01,59.5
1950-09-01,51.0
1950-10-01,42.9
1950-11-01,26.7
1950-12-01,27.5
1951-01-01,17.9
1951-02-01,26.0
1951-03-01,25.4
1951-04-01,38.8
1951-05-01,46.8
1951-06-01,50.0
1951-07-01,61.9
1951-08-01,59.1
1951-09-01,50.0
1951-10-01,39.3
1951-11-01,27.6
1951-12-01,17.4
1952-01-01,16.5
1952-02-01,23.9
1952-03-01,27.2
1952-04-01,42.2
1952-05-01,48.4
1952-06-01,53.1
1952-07-01,59.6
1952-08-01,60.6
1952-09-01,54.4
1952-10-01,43.6
1952-11-01,26.7
1952-12-01,23.8
1953-01-01,33.9
1953-02-01,29.3
1953-03-01,33.6
1953-04-01,36.9
1953-05-01,43.8
1953-06-01,51.2
1953-07-01,62.2
1953-08-01,60.4
1953-09-01,54.2
1953-10-01,43.2
1953-11-01,34.5
1953-12-01,29.7
1954-01-01,21.2
1954-02-01,29.5
1954-03-01,27.2
1954-04-01,37.8
1954-05-01,48.0
1954-06-01,50.3
1954-07-01,62.1
1954-08-01,57.6
1954-09-01,50.6
1954-10-01,38.8
1954-11-01,35.3
1954-12-01,23.9
1955-01-01,20.8
1955-02-01,20.0
1955-03-01,21.9
1955-04-01,34.6
1955-05-01,43.1
1955-06-01,53.9
1955-07-01,59.7
1955-08-01,60.6
1955-09-01,50.5
1955-10-01,42.3
1955-11-01,20.7
1955-12-01,18.6
1956-01-01,20.9
1956-02-01,17.6
1956-03-01,27.6
1956-04-01,39.6
1956-05-01,49.1
1956-06-01,53.6
1956-07-01,61.9
1956-08-01,58.0
1956-09-01,52.4
1956-10-01,40.3
1956-11-01,27.5
1956-12-01,27.2
1957-01-01,8.5
1957-02-01,23.1
1957-03-01,30.4
1957-04-01,38.9
1957-05-01,50.8
1957-06-01,54.5
1957-07-01,61.8
1957-08-01,59.6
1957-09-01,53.8
1957-10-01,38.6
1957-11-01,28.7
1957-12-01,29.6
1958-01-01,26.2
1958-02-01,30.0
1958-03-01,30.2
1958-04-01,37.9
1958-05-01,54.2
1958-06-01,55.5
1958-07-01,60.2
1958-08-01,63.4
1958-09-01,51.4
1958-10-01,41.7
1958-11-01,29.4
1958-12-01,26.9
1959-01-01,23.8
1959-02-01,20.6
1959-03-01,31.8
1959-04-01,39.6
1959-05-01,43.2
1959-06-01,55.4
1959-07-01,61.8
1959-08-01,57.6
1959-09-01,49.6
1959-10-01,40.7
1959-11-01,23.6
1959-12-01,24.7
1960-01-01,16.4
1960-02-01,22.8
1960-03-01,29.7
1960-04-01,38.7
1960-05-01,45.1
1960-06-01,54.7
1960-07-01,66.2
1960-08-01,57.5
1960-09-01,52.8
1960-10-01,41.3
1960-11-01,30.4
1960-12-01,20.7
1961-01-01,23.6
1961-02-01,33.2
1961-03-01,33.0
1961-04-01,37.1
1961-05-01,47.1
1961-06-01,59.6
1961-07-01,63.9
1961-08-01,65.4
1961-09-01,46.4
1961-10-01,38.9
1961-11-01,25.3
1961-12-01,21.3
1962-01-01,15.1
1962-02-01,24.0
1962-03-01,28.3
1962-04-01,41.2
1962-05-01,45.6
1962-06-01,53.0
1962-07-01,58.8
1962-08-01,58.4
1962-09-01,51.1
1962-10-01,41.2
1962-11-01,31.7
1962-12-01,29.1
1963-01-01,10.0
1963-02-01,30.8
1963-03-01,33.2
1963-04-01,38.6
1963-05-01,47.5
1963-06-01,53.5
1963-07-01,59.4
1963-08-01,61.4
1963-09-01,56.1
1963-10-01,44.9
1963-11-01,32.5
1963-12-01,19.9
1964-01-01,24.1
1964-02-01,24.6
1964-03-01,27.0
1964-04-01,36.6
1964-05-01,45.0
1964-06-01,53.0
1964-07-01,62.0
1964-08-01,56.6
1964-09-01,47.9
1964-10-01,40.7
1964-11-01,29.5
1964-12-01,19.7
1965-01-01,25.4
1965-02-01,26.2
1965-03-01,23.1
1965-04-01,39.6
1965-05-01,44.6
1965-06-01,52.0
1965-07-01,60.9
1965-08-01,59.1
1965-09-01,43.3
1965-10-01,43.6
1965-11-01,32.4
1965-12-01,25.4
1966-01-01,24.1
1966-02-01,25.1
1966-03-01,29.9
1966-04-01,37.7
1966-05-01,49.1
1966-06-01,51.7
1966-07-01,62.1
1966-08-01,59.4
1966-09-01,56.7
1966-10-01,40.5
1966-11-01,30.6
1966-12-01,27.4
1967-01-01,28.1
1967-02-01,30.1
1967-03-01,29.4
1967-04-01,34.9
1967-05-01,45.6
1967-06-01,54.1
1967-07-01,63.3
1967-08-01,64.2
1967-09-01,57.4
1967-10-01,41.4
1967-11-01,29.4
1967-12-01,20.9
1968-01-01,19.6
1968-02-01,29.6
1968-03-01,36.5
1968-04-01,36.1
1968-05-01,45.1
1968-06-01,53.1
1968-07-01,62.0
1968-08-01,57.7
1968-09-01,50.3
1968-10-01,38.9
1968-11-01,30.0
1968-12-01,18.6
1969-01-01,15.6
1969-02-01,21.1
1969-03-01,26.3
1969-04-01,42.2
1969-05-01,49.4
1969-06-01,53.2
1969-07-01,59.2
1969-08-01,61.5
1969-09-01,52.3
1969-10-01,36.4
1969-11-01,29.9
1969-12-01,24.8
1970-01-01,21.5
1970-02-01,29.2
1970-03-01,28.4
1970-04-01,33.8
1970-05-01,47.4
1970-06-01,57.4
1970-07-01,63.0
1970-08-01,61.6
1970-09-01,46.4
1970-10-01,37.7
1970-11-01,29.6
1970-12-01,21.6
1971-01-01,23.9
1971-02-01,27.4
1971-03-01,29.0
1971-04-01,38.4
1971-05-01,48.5
1971-06-01,52.0
1971-07-01,60.0
1971-08-01,64.7
1971-09-01,46.7
1971-10-01,38.0
1971-11-01,29.8
1971-12-01,19.3
1972-01-01,18.8
1972-02-01,25.4
1972-03-01,35.1
1972-04-01,36.1
1972-05-01,47.3
1972-06-01,55.3
1972-07-01,59.1
1972-08-01,62.5
1972-09-01,48.4
1972-10-01,38.3
1972-11-01,29.2
1972-12-01,16.4
1973-01-01,19.1
1973-02-01,26.4
1973-03-01,33.8
1973-04-01,37.3
1973-05-01,47.7
1973-06-01,54.0
1973-07-01,62.5
1973-08-01,61.6
1973-09-01,51.2
1973-10-01,41.2
1973-11-01,26.8
1973-12-01,27.5
1974-01-01,17.8
1974-02-01,28.9
1974-03-01,30.3
1974-04-01,39.9
1974-05-01,42.9
1974-06-01,58.2
1974-07-01,61.4
1974-08-01,59.2
1974-09-01,51.2
1974-10-01,42.1
1974-11-01,31.3
1974-12-01,25.7
1975-01-01,21.6
1975-02-01,20.8
1975-03-01,28.3
1975-04-01,32.8
1975-05-01,43.4
1975-06-01,50.2
1975-07-01,65.5
1975-08-01,56.9
1975-09-01,51.2
1975-10-01,39.5
1975-11-01,26.3
1975-12-01,25.1
1976-01-01,25.4
1976-02-01,26.4
1976-03-01,27.7
1976-04-01,39.2
1976-05-01,49.0
1976-06-01,51.0
1976-07-01,61.9
1976-08-01,58.8
1976-09-01,53.6
1976-10-01,40.6
1976-11-01,30.2
1976-12-01,24.6
1977-01-01,17.6
1977-02-01,29.4
1977-03-01,30.1
1977-04-01,41.4
1977-05-01,45.2
1977-06-01,57.7
1977-07-01,60.1
1977-08-01,60.7
1977-09-01,50.2
1977-10-01,40.3
1977-11-01,27.3
1977-12-01,22.3
1978-01-01,22.9
1978-02-01,25.8
1978-03-01,34.4
1978-04-01,40.4
1978-05-01,43.6
1978-06-01,54.2
1978-07-01,59.8
1978-08-01,58.2
1978-09-01,51.4
1978-10-01,41.8
1978-11-01,22.8
1978-12-01,14.3
1979-01-01,3.8
1979-02-01,23.7
1979-03-01,31.9
1979-04-01,37.9
1979-05-01,47.1
1979-06-01,55.2
1979-07-01,61.5
1979-08-01,62.0
1979-09-01,54.9
1979-10-01,43.1
1979-11-01,24.3
1979-12-01,28.4
1980-01-01,14.0
1980-02-01,26.7
1980-03-01,28.8
1980-04-01,43.1
1980-05-01,49.2
1980-06-01,53.0
1980-07-01,59.8
1980-08-01,55.4
1980-09-01,52.0
1980-10-01,41.7
1980-11-01,31.1
1980-12-01,29.7
1981-01-01,28.0
1981-02-01,28.2
1981-03-01,35.0
1981-04-01,40.5
1981-05-01,47.0
1981-06-01,50.6
1981-07-01,59.7
1981-08-01,63.6
1981-09-01,52.5
1981-10-01,39.3
1981-11-01,31.2
1981-12-01,24.2
1982-01-01,19.6
1982-02-01,20.1
1982-03-01,32.2
1982-04-01,34.9
1982-05-01,45.1
1982-06-01,55.6
1982-07-01,59.4
1982-08-01,61.3
1982-09-01,50.6
1982-10-01,40.0
1982-11-01,25.5
1982-12-01,21.6
1983-01-01,27.9
1983-02-01,31.0
1983-03-01,35.1
1983-04-01,38.2
1983-05-01,46.8
1983-06-01,53.6
1983-07-01,57.8
1983-08-01,63.9
1983-09-01,47.6
1983-10-01,41.1
1983-11-01,31.3
1983-12-01,10.0
1984-01-01,24.0
1984-02-01,29.9
1984-03-01,34.8
1984-04-01,38.6
1984-05-01,44.6
1984-06-01,52.0
1984-07-01,62.1
1984-08-01,62.7
1984-09-01,47.5
1984-10-01,37.6
1984-11-01,29.4
1984-12-01,18.2
1985-01-01,16.9
1985-02-01,19.8
1985-03-01,30.1
1985-04-01,41.5
1985-05-01,49.5
1985-06-01,55.4
1985-07-01,67.6
1985-08-01,56.8
1985-09-01,45.5
1985-10-01,37.3
1985-11-01,17.1
1985-12-01,15.7
1986-01-01,25.4
1986-02-01,25.6
1986-03-01,37.6
1986-04-01,38.9
1986-05-01,49.2
1986-06-01,60.1
1986-07-01,57.2
1986-08-01,63.7
1986-09-01,47.5
1986-10-01,41.5
1986-11-01,27.5
1986-12-01,20.6
1987-01-01,20.4
1987-02-01,27.4
1987-03-01,33.3
1987-04-01,45.1
1987-05-01,50.7
1987-06-01,57.0
1987-07-01,59.8
1987-08-01,57.2
1987-09-01,54.9
1987-10-01,42.7
1987-11-01,31.8
1987-12-01,22.6
1988-01-01,19.8
1988-02-01,28.9
1988-03-01,32.9
1988-04-01,42.4
1988-05-01,47.7
1988-06-01,59.0
1988-07-01,61.9
1988-08-01,61.2
1988-09-01,52.0
1988-10-01,47.0
1988-11-01,31.0
1988-12-01,22.9
1989-01-01,25.5
1989-02-01,13.5
1989-03-01,28.5
1989-04-01,40.2
1989-05-01,46.2
1989-06-01,55.8
1989-07-01,64.8
1989-08-01,58.0
1989-09-01,51.8
1989-10-01,40.8
1989-11-01,33.1
1989-12-01,23.3
1990-01-01,28.0
1990-02-01,25.0
1990-03-01,32.9
1990-04-01,42.2
1990-05-01,44.9
1990-06-01,54.0
1990-07-01,62.7
1990-08-01,61.4
1990-09-01,58.5
1990-10-01,39.0
1990-11-01,32.3
1990-12-01,13.4
1991-01-01,20.7
1991-02-01,32.9
1991-03-01,30.1
1991-04-01,38.2
1991-05-01,45.4
1991-06-01,51.6
1991-07-01,62.8
1991-08-01,64.6
1991-09-01,53.8
1991-10-01,40.1
1991-11-01,27.2
1991-12-01,25.1
1992-01-01,25.5
1992-02-01,32.9
1992-03-01,39.2
1992-04-01,42.0
1992-05-01,51.1
1992-06-01,58.7
1992-07-01,58.4
1992-08-01,60.3
1992-09-01,50.1
1992-10-01,43.6
1992-11-01,27.6
1992-12-01,18.1
1993-01-01,15.2
1993-02-01,16.8
1993-03-01,34.5
1993-04-01,39.1
1993-05-01,52.7
1993-06-01,52.2
1993-07-01,53.5
1993-08-01,57.2
1993-09-01,50.5
1993-10-01,42.1
1993-11-01,23.8
1993-12-01,25.0
1994-01-01,30.3
1994-02-01,22.4
1994-03-01,35.1
1994-04-01,41.7
1994-05-01,50.0
1994-06-01,54.3
1994-07-01,64.3
1994-08-01,64.5
1994-09-01,56.0
1994-10-01,39.8
1994-11-01,25.9
1994-12-01,23.2
1995-01-01,23.0
1995-02-01,29.5
1995-03-01,31.5
1995-04-01,38.1
1995-05-01,47.4
1995-06-01,52.9
1995-07-01,60.7
1995-08-01,58.4
1995-09-01,52.8
1995-10-01,37.7
1995-11-01,32.4
1995-12-01,23.4
1996-01-01,19.1
1996-02-01,22.4
1996-03-01,28.7
1996-04-01,39.9
1996-05-01,43.1
1996-06-01,55.0
1996-07-01,63.7
1996-08-01,60.8
1996-09-01,49.9
1996-10-01,39.6
1996-11-01,27.6
1996-12-01,21.0
1997-01-01,20.3
1997-02-01,25.1
1997-03-01,31.2
1997-04-01,34.9
1997-05-01,49.3
1997-06-01,53.7
1997-07-01,59.8
1997-08-01,61.6
1997-09-01,54.1
1997-10-01,40.0
1997-11-01,30.2
1997-12-01,23.4
1998-01-01,23.2
1998-02-01,28.5
1998-03-01,32.4
1998-04-01,41.2
1998-05-01,49.5
1998-06-01,51.4
1998-07-01,66.0
1998-08-01,63.8
1998-09-01,58.2
1998-10-01,41.0
1998-11-01,32.4
1998-12-01,22.7
1999-01-01,27.5
1999-02-01,28.1
1999-03-01,33.8
1999-04-01,37.6
1999-05-01,45.0
1999-06-01,52.1
1999-07-01,59.3
1999-08-01,62.7
1999-09-01,50.3
1999-10-01,42.1
1999-11-01,36.0
1999-12-01,27.2
2000-01-01,24.8
2000-02-01,28.9
2000-03-01,35.1
2000-04-01,42.1
2000-05-01,47.3
2000-06-01,54.6
2000-07-01,63.3
2000-08-01,62.4
2000-09-01,50.2
2000-10-01,41.0
2000-11-01,24.2
